Request Date,Cumulative Date Start,Pages Printed in Last 24 Hours,Total Pages Printed Since Cumulative Date,Total Users,Average Pages Printed Per User,Total Pages to Date
"April 02, 2018 ",01/08/2018,0,40264,42152,0,14578751
"September 27, 2018 ",09/26/2018,1635,3,43916,0.06,15963189
"March 01, 2019 ",01/06/2019,18306,704,49032,13.85,17638707
"March 12, 2019 ",01/06/2019,25566,755957,49178,16.62,17777623
"December 04, 2017 ",09/24/2017,692,86203,40644,21.16,13415737
"December 03, 2017 ",09/24/2017,0,8613,40644,21.14,13415045
"November 25, 2017 ",09/24/2017,0,6598,40475,18.88,13319689
"May 26, 2018 ",04/01/2018,8540,751263,42843,17.49,15330014
"August 30, 2018 ",06/23/2018,5569,525,43660,6.12,15892725
"May 06, 2019 ",04/01/2019,1910,35217,49829,8.72,18410689
"May 09, 2018 ",04/01/2018,23053,5286,42652,12.37,15107432
"February 20, 2018 ",01/08/2018,617,54,41683,12.94,14079288
"December 08, 2017 ",09/24/2017,16482,598,40779,23.48,13513575
"January 05, 2019 ",01/06/2019,16,,48053,0,17017282
"June 09, 2019 ",04/01/2019,0,875916,50215,17.41,18851388
"September 26, 2017 ",09/24/2017,0,,36780,0,12553705
"July 12, 2018 ",06/23/2018,5322,7,43152,1.63,15695411
"June 20, 2019 ",04/01/2019,71,6,50260,19.11,18937872
"December 19, 2018 ",09/26/2018,65,53907,48053,21.91,17017057
"April 30, 2018 ",04/01/2018,1082,3867,42524,9.08,14965499
"December 30, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"January 30, 2019 ",01/06/2019,21350,325745,48577,6.68,17343045
"June 02, 2018 ",04/01/2018,10996,647,42907,19.18,15403398
"March 17, 2019 ",01/06/2019,126,863368,49273,18.77,17885034
"February 15, 2019 ",01/06/2019,0,44,48840,10.74,17458490
"October 05, 2018 ",09/26/2018,20959,585,45074,2.85,16089735
"January 28, 2018 ",01/08/2018,0,,41227,5.52,13766589
"October 29, 2018 ",09/26/2018,1648,460235,46829,9.84,16423385
"October 30, 2018 ",09/26/2018,26120,4863,46908,10.38,16449516
"February 27, 2018 ",01/08/2018,21158,6383,41801,15.23,14176808
"December 18, 2017 ",09/24/2017,0,3,40798,23.87,13527606
"January 13, 2019 ",01/06/2019,0,4495,48175,1.95,17111795
"January 20, 2018 ",01/08/2018,14912,9147,40992,2.9,13657634
"January 01, 2019 ",09/26/2018,0,53,48053,21.91,17017111
"January 09, 2019 ",01/06/2019,22102,43493,48100,0.9,17060793
"April 07, 2018 ",04/01/2018,9714,9389,42220,2.22,14672649
"January 10, 2019 ",01/06/2019,22117,5,48135,1.36,17082912
"June 05, 2018 ",04/01/2018,22889,519,42918,19.73,15427270
"August 20, 2018 ",06/23/2018,265,7,43552,5.08,15846910
"February 02, 2018 ",01/08/2018,20963,32049,41395,7.72,13858985
"January 24, 2019 ",01/06/2019,28318,4035,48445,4.94,17257656
"April 26, 2019 ",04/01/2019,20574,3303,49720,6.63,18305776
"March 14, 2019 ",01/06/2019,29852,809838,49235,17.7,17831504
"December 25, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"December 02, 2018 ",09/26/2018,0,31265,47774,17.39,16794415
"June 04, 2019 ",04/01/2019,23240,7817,50158,15.55,18757183
"December 10, 2018 ",09/26/2018,3850,4,47977,20.2,16932998
"June 25, 2018 ",04/01/2018,0,5449,43025,24.24,15624200
"May 08, 2019 ",04/01/2019,21197,79878,49879,9.6,18455350
"September 13, 2018 ",06/23/2018,7385,,43755,7.28,15944566
"November 12, 2018 ",09/26/2018,465,37,47314,13.47,16600159
"April 28, 2018 ",04/01/2018,8958,385666,42524,9.05,14964417
"November 23, 2017 ",09/24/2017,3385,6598,40475,18.88,13319689
"February 18, 2019 ",01/06/2019,0,44,48843,10.88,17458490
"May 08, 2018 ",04/01/2018,25443,505607,42634,11.84,15084358
"April 22, 2018 ",04/01/2018,0,91097,42440,6.85,14869848
"October 19, 2018 ",09/26/2018,26557,34,46367,7.5,16310012
"November 10, 2017 ",09/24/2017,17740,63898,40217,15.84,13192685
"May 26, 2019 ",04/01/2019,0,6853,50054,13.67,18660814
"December 13, 2018 ",09/26/2018,16138,32407,48031,21.47,16995557
